Exported & Documented Builtins Predicates by MD File - 2019/7/1

MD File                 Predicate                BltFile       Module    MdFileTitle             
tell.md                 tell/1                   sio_d10.pro   sio       tell/1                  
tell.md                 telling/1                sio_d10.pro   sio       tell/1                  
tell.md                 told/0                   sio_d10.pro   sio       tell/1                  
term_chars.md           term_chars/2             blt_atom.pro  builtins  term_chars/2            
term_chars.md           term_codes/2             blt_atom.pro  builtins  term_chars/2            
trace.md                notrace/0                blt_sys.pro   debugger  trace/[0,1]             
trace.md                trace/0                  debugger.pro  debugger  trace/[0,1]             
trace.md                trace/1                  debugger.pro  debugger  trace/[0,1]             
ttyflush.md             ttyflush/0               sio_d10.pro   sio       ttyflush/0              
unify.md                \=/2                     blt_term.pro  builtins  =/2                     
write.md                display/1                sio_d10.pro   sio       write/[1,2]             
write.md                write/1                  sio_wt.pro    sio       write/[1,2]             
write.md                write/2                  sio_wt.pro    sio       write/[1,2]             
write.md                write_canonical/1        sio_wt.pro    sio       write/[1,2]             
write.md                write_canonical/2        sio_wt.pro    sio       write/[1,2]             
write.md                write_term/2             sio_wt.pro    sio       write/[1,2]             
write.md                write_term/3             sio_wt.pro    sio       write/[1,2]             
